Id,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
55,I am a student who is learning to code,No,NA,20,NA,NA,NA,United States,NA,NA,NA,MySQL,NA,"Associate degree (A.A., A.S., etc.)","Not employed, but looking for work",Black or of African descent,Man,Industry that Iü??d be working in;Diversity of the company or organization;Office environment or company culture,NA,I am actively looking for a job,C++;JavaScript;R,Python,NA,NA,NA,Github,NA,NA,NA,NA,NA,NA,Yes,NA,No,NA,NA,NA,Stack Overflow (public Q&A for anyone who codes),Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,NA,NA,IBM Cloud or Watson,NA,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,A few times per month or weekly,Easy,Appropriate in length,No,Mathematics or statistics,NA,NA,Just as welcome now as I felt last year,NA,2,NA
56,I am a developer by profession,Yes,27,21,NA,NA,NA,United States,United States dollar,USD,Elasticsearch,DynamoDB;MySQL;Redis,"Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,Diversity of the company or organization;Specific department or team Iü??d be working on;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,Python;TypeScript,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Unity 3D;Unreal Engine,NA,Gitlab;Slack;Stack Overflow for Teams,Confluence;Jira;Github;Gitlab;Slack,Yes,Neutral,Somewhat important,Trouble with my direct manager;Trouble with leadership at my company,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,No,No,Never,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,500 to 999 employees,Docker;Kubernetes;Linux,Docker;Linux,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",Django,Symfony,Just as welcome now as I felt last year,40,6,4
57,I am a developer by profession,No,44,12,Monthly,135000,1620000,United States,United States dollar,USD,SQLite,SQLite,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Product manager","Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Industry that Iü??d be working in;Specific department or team Iü??d be working on;Office environment or company culture,Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",C#,C#;VBA,.NET;.NET Core,.NET,"Github;Trello;Google Suite (Docs, Meet, etc)","Github;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Fairly important,Just because;Curious about other opportunities,NA,Once a decade,Yes,Onboarding? What onboarding?,Yes,Rarely: 1-2 days per year or less,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,"10,000 or more employees",Android;Arduino;Windows,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,43,33,23
58,I am a developer by profession,Yes,NA,22,NA,NA,NA,India,Indian rupee,INR,Microsoft SQL Server,Microsoft SQL Server,"Developer, back-end",NA,"Independent contractor, freelancer, or self-employed",South Asian,NA,Family friendliness,Very satisfied,I am not interested in new job opportunities,C#;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,.NET;.NET Core;Node.js,.NET;.NET Core;Node.js,Stack Overflow for Teams,Stack Overflow for Teams,Yes,Extremely important,Very important,NA,NA,Once every few years,NA,Yes,No,Often: 1-2 days per week or more,Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,NA,NA,NA,NA,NA,Yes,"Yes, definitely",NA,Multiple times per day,Neither easy nor difficult,Too long,NA,Web development or web design,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery,NA,NA,NA,NA
59,I am a developer by profession,No,38,15,Monthly,6000,16488,Brazil,Brazilian real,BRL,Microsoft SQL Server,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,"Data or business analyst;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,Industry that Iü??d be working in;Diversity of the company or organization;Remote work options,Slightly satisfied,I am not interested in new job opportunities,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;PHP;Ruby,.NET,.NET;Node.js;Unity 3D,Github;Slack;Microsoft Teams;Microsoft Azure,Github;Slack;Trello,No,Somewhat important,Fairly important,Curious about other opportunities;Better compensation;Trouble with my direct manager;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,No,No,Never,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,500 to 999 employees,Microsoft Azure;Windows,Docker;MacOS,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;jQuery,ASP.NET;jQuery;Laravel;Ruby on Rails,Just as welcome now as I felt last year,40,24,15
60,I am a student who is learning to code,Yes,NA,14,NA,NA,NA,Germany,NA,NA,NA,MariaDB;MySQL,NA,NA,Student,NA,NA,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,NA,I am not interested in new job opportunities,C#;HTML/CSS;Java;JavaScript;Perl;Python;Swift;VBA,C#;HTML/CSS;Java;JavaScript;Python;SQL,TensorFlow;Unity 3D,.NET;.NET Core;Unity 3D,NA,Trello,NA,NA,NA,NA,NA,Every few months,NA,NA,No,NA,Start a free trial;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Linux-based,NA,Android;iOS;Linux;Raspberry Pi,Linux;Raspberry Pi,NA,NA,No,"No, not really",NA,A few times per month or weekly,Easy,Appropriate in length,No,NA,Django,NA,Just as welcome now as I felt last year,NA,2,NA
61,I am a developer by profession,Yes,31,12,Monthly,NA,NA,Mexico,Mexican peso,MXN,MongoDB;MySQL;SQLite,MySQL;SQLite,"Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,"Industry that Iü??d be working in;Languages, frameworks, and other technologies Iü??d be working with;Opportunities for professional development",Neither satisfied nor dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;SQL,Node.js;Unreal Engine,NA,NA,NA,No,Not very important,Not at all important/not necessary,Better compensation,NA,Once every few years,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Watch help / tutorial videos,Windows,2 to 9 employees,Linux;Windows,Linux;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Daily or almost daily,Easy,Too short,No,"Information systems, information technology, or system administration",Angular.js;jQuery;Laravel,Angular.js;jQuery,A lot less welcome now than last year,40,16,9
62,I am a student who is learning to code,No,20,11,NA,NA,NA,United Kingdom,NA,NA,Microsoft SQL Server;PostgreSQL;SQLite,Oracle;PostgreSQL;SQLite,NA,Some college/university study without earning a degree,Student,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture;Opportunities for professional development",NA,"Iü??m not actively looking, but I am open to new opportunities",C#;Python;SQL,C#;C++;HTML/CSS;Java;Python;Ruby;SQL;Swift,.NET;.NET Core,.NET;.NET Core;Xamarin,Github,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Once every few years,NA,NA,Yes,NA,Start a free trial;Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Panic,Windows,NA,Windows,Android;iOS;Linux;Windows,NA,Bisexual;Straight / Heterosexual,No,"No, not really",NA,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;jQuery;Ruby on Rails,NA,Just as welcome now as I felt last year,NA,7,NA
63,I am a student who is learning to code,Yes,21,17,NA,NA,NA,India,NA,NA,DynamoDB,Firebase;MongoDB;MySQL,"Designer;Developer, back-end;Developer, front-end;Developer, mobile;Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, but looking for work",South Asian,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,NA,I am actively looking for a job,Go;Kotlin;TypeScript,C;C++;HTML/CSS;Java;JavaScript;Python,Flutter;Node.js;React Native;TensorFlow,NA,Confluence;Stack Overflow for Teams,"Github;Facebook Workplace;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Once a year,Yes,NA,No,NA,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,NA,AWS;Docker;Heroku;iOS,Android;Arduino;Google Cloud Platform;Raspberry Pi;Slack Apps and Integrations;Windows,NA,Straight / Heterosexual,Yes,Neutral,A few times per week,Daily or almost daily,Easy,Appropriate in length,No,NA,Angular.js;Django;jQuery;Laravel;Vue.js,NA,Not applicable - I did not use Stack Overflow last year,NA,4,NA
64,I am a developer by profession,Yes,34,12,Yearly,73000,94359,United Kingdom,Pound sterling,GBP,Elasticsearch;MySQL;Redis;SQLite,MySQL;Redis;SQLite,"Developer, back-end;Developer, full-stack;Educator",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;Perl;SQL;TypeScript,HTML/CSS;JavaScript;Perl;SQL,NA,NA,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Not at all important/not necessary,Better work/life balance;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,No,Yes,Occasionally: 1-2 days per quarter but less than monthly,NA,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,100 to 499 employees,Linux,Linux,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular,Angular,Just as welcome now as I felt last year,40,20,13
65,I am a developer by profession,Yes,34,13,Monthly,98000,1176000,United States,United States dollar,USD,Couchbase;Elasticsearch;Redis,Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,Slightly satisfied,"Iü??m not actively looking, but I am open to new opportunities",Go;Kotlin;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,Flutter;Node.js,.NET;.NET Core,Gitlab,Jira;Github,No,Somewhat important,Fairly important,Just because,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Panic,Windows,10 to 19 employees,NA,AWS;Microsoft Azure;Raspberry Pi;Windows,I have a great deal of influence,Straight / Heterosexual,NA,"Yes, somewhat",NA,I have never visited Stack Overflow (before today),Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,ASP.NET;ASP.NET Core;jQuery;Vue.js,Somewhat less welcome now than last year,40,21,14
