What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Female,45,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Male,31,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Brooklyn,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Married,Yes,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Female,39,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Getting better,I take the bus more frequently,Single,No,No,A one family house detached from any other house,Own,Other,NA,English
Male,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Inner Brooklyn,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,Yes,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Construction,NA
Male,38,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Outer Queens,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Own,Employed full time (working more than 30 hours per week),Education,English
Male,49,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Inner Brooklyn,Yes,Staying the same,NA,NA,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,English
Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999",Staten Island,Yes,NA,NA,Staying the same,NA,Single,No,No,A one family house attached to one or more houses,Own,Retired,NA,English
Male,26,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,Yes,No,A building with 50 or more apartments,Rent,Volunteer work (at least 1 day/week),NA,English
Female,11368,Black/ African American/ Caribbean American,NA,"Associate degree (i.e., AA, AS)","$25,000 - $34,999",Middle Queens,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Volunteer work (at least 1 day/week),NA,English
Female,49,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999",Outer Queens,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,30,Black/ African American/ Caribbean American,"Yes, Puerto Rican",Some high school,"$25,000 - $34,999",Staten Island,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,English
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Outer Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Unemployed,NA,English
Female,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Inner Brooklyn,Yes,Getting worse,I use the subway more frequently,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,NA
Female,26,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Northern Manhattan,Yes,Staying the same,NA,Getting better,I take the bus more frequently,Single,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),NA,English
Female,28,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Media,NA
Male,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Outer Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Technology & Telecommunications,English
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Inner Brooklyn,Yes,Getting better,I use the subway less frequently,Getting worse,I take the bus more frequently,Divorced,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,English
Female,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Financial services,English
Female,35,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Middle Queens,Yes,Getting worse,I use the subway more frequently,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Own,Employed full time (working more than 30 hours per week),Real estate,English
Female,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Northern Bronx,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Living in a committed partnership,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Real estate,NA
Female,24,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$15,000 - $24,999",Northern Manhattan,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,English
Female,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,English
Male,19,White/Caucasian,"Yes, Cuban",Some college but degree not received or in progress,"$25,000 - $34,999",Staten Island,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Single,No,No,A one family house detached from any other house,Own,Full time student,NA,English
Male,25,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Married,Yes,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Manufacturing,NA
Female,56,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Middle Queens,Yes,Staying the same,NA,Getting better,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Own,Retired,NA,NA
Male,45,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,English
Male,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Inner Brooklyn,No,Staying the same,NA,Getting better,I take the bus more frequently,Single,No,No,A building with 10 to 49 apartments,Own,Employed part time (working less than 30 hours per week),Construction,Spanish
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Queens,No,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,English
Male,62,Other,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999",Southern Bronx,Yes,Staying the same,NA,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,English
Female,48,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Northern Manhattan,Yes,Getting worse,I use the subway more frequently,Getting worse,I take the bus less frequently,Married,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Male,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Female,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Staten Island,No,Getting better,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,English
Male,23,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Own,Stay-at-home parent,NA,English
Female,28,White/Caucasian,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Southern Bronx,No,NA,NA,NA,NA,Single,Yes,No,A building with 50 or more apartments,Rent,Other,NA,English
Male,42,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Inner Queens,Yes,Getting worse,I use the subway more frequently,Getting better,I take the bus more frequently,Married,Yes,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Education,English
Male,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Own,Employed full time (working more than 30 hours per week),Technology & Telecommunications,Spanish
Female,25,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Outer Queens,No,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A one family house detached from any other house,Rent,Part-time student,NA,English
